2022;1;27;14 ; Sábado               ; 1 ; ENERO            ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Domingo              ; 2 ; ENERO            ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Lunes                ; 3 ; ENERO            ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Martes               ; 4 ; ENERO            ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Miércoles            ; 5 ; ENERO            ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Jueves               ; 6 ; ENERO            ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Viernes              ; 7 ; ENERO            ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Sábado               ; 8 ; ENERO            ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Domingo              ; 9 ; ENERO            ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Lunes                ; 10 ; ENERO           ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Martes               ; 11 ; ENERO           ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Miércoles            ; 12 ; ENERO           ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Jueves               ; 13 ; ENERO           ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Viernes              ; 14 ; ENERO           ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Sábado               ; 15 ; ENERO           ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Domingo              ; 16 ; ENERO           ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Lunes                ; 17 ; ENERO           ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Martes               ; 18 ; ENERO           ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Miércoles            ; 19 ; ENERO           ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Jueves               ; 20 ; ENERO           ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Viernes              ; 21 ; ENERO           ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Sábado               ; 22 ; ENERO           ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Domingo              ; 23 ; ENERO           ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Lunes                ; 24 ; ENERO           ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Martes               ; 25 ; ENERO           ; No         ; MDE                  ; SMR  
